title,description,time_to_paste,location,price,link
ГОСТИНКА 10МКР 1К 1ЭТ ,"ГОСТИНКА 10 МКР  1-КОМНАТНАЯ 40М2 на 1-ЭТАЖЕ В ПРОПИСКЕ ПУСТО, 2 ВЫХОД...",şu wagt,10 мкр,30.000 TMT,https://tmcars.info/others/4242300953/gostinka-10mkr-1k-1et
8 mkr   3 kom    turgenler ,ОТ ХОЗЯИНА  Продаётся просторная 3-комнатная квартира на 2 этаже 5-эта...,şu wagt,8 мкр,63.000 TMT,https://tmcars.info/others/4177986428/8-mkr-3-kom-turgenler
swoboda 30 mkr 1 kom 2 etaj ,Beyik potolok  2 etaj 1 kom 2 edilen  hemme zat galya propiska boş  По...,şu wagt,30 мкр,36.500 TMT,https://tmcars.info/others/4246122767/swoboda-30-mkr-1-kom-2-etaj
11 mkr 2 komnat Aytakow ,11 mkr 2 komnat +weranda 57.kw remontly arassa jay hemme goslary galya...,şu wagt,Ашхабад,42.000 TMT,https://tmcars.info/others/4247670581/11-mkr-2-komnat-aytakow
satlyk jay ,kw 146 2nji etaj 2komnat yolun ugry remont arassa hemme gosy galya bah...,şu wagt,Балканабат,,https://tmcars.info/others/4247679518/satlyk-jay
9 МКР  СУРИКОВА ,9 мкр по сурикова 2 ком переделаннаяв 3 ком открытый подьезд 3 этажка ...,şu wagt,9 мкр,52.000 TMT,https://tmcars.info/others/4242153952/9-mkr-surikova
srocno jay aljak mir 8 ,mir 8 jay gerek 2_3 kom...,şu wagt,Мир 8,,https://tmcars.info/others/4247679432/srocno-jay-aljak-mir-8
Подвойская ,"Подвойская элитка, 3 комнат 2 этаж с евро рем теплый пол+ мебль тежник...",şu wagt,ул. Подвойского (Битарап Туркменистан шаёлы),155.000 TMT,https://tmcars.info/others/4240488140/podvoiskaya
Срочно 3 ком Мир 1 ,Срочно  мир 1 рядом с поликлиникой 3 комнатная квартира . 85м2. 7 эт...,şu wagt,Ашхабад,,https://tmcars.info/others/4247529325/srocno-3-kom-mir-1
5mkr 1et 4komn ,"Satlyk 5mkr 1et 4komn 72m², ewroremont goşy bilen,  document taýyn, tý...",şu wagt,Ашхабад,61.000 TMT,https://tmcars.info/others/4247557071/5mkr-1et-4komn
Gurtly 2et 3komn 105m² ,"Satlyk taze Gurtly 3komn 2et 105m², yagdaýy arassa,  yerleşyan yeri Ha...",şu wagt,Ашхабад,84.900 TMT,https://tmcars.info/others/4247556048/gurtly-2et-3komn-105m
ipoteka göllibay proekt ,"ipoteka göllibay proekt, taze salynan miras bazaryñ dogyrsynnan girmel...",şu wagt,Дашогуз,120.000 TMT,https://tmcars.info/others/4247679017/ipoteka-gollibay-proekt
satlyk jaý ,satlyk jaý śatlyk śaherçe 2kom 4etaj prapisga boś baha 260tmt 1300mln...,şu wagt,Шатлык,260 TMT,https://tmcars.info/others/4247668253/satlyk-jay
Satlyk jaÿ ,Eyesi ozum Gurtly Gurbansoltanyn ugry dokument duzuw onusuk bar 3 kom ...,şu wagt,Гуртли,117 TMT,https://tmcars.info/others/4247678278/satlyk-jay
🧿 30Мкр. - 3 комнаты 🧿🧿🧿 ,30 Мкр. ближе к Свободе  3-х комнатная квартира на 12/5 этаже. Квартир...,şu wagt,30 мкр,61.000 TMT,https://tmcars.info/others/4178803497/-30mkr-3-komnaty
"Гагарина, 4 комнаты ","Ул.Гагарина - Ереванская, 4-х комнатная квартира на 4/3 этаже. Квартир...",şu wagt,"Район ст. Аэропорта, ул. Гагарина",57.000 TMT,https://tmcars.info/others/4225040962/gagarina-4-komnaty
Gurtly23 4/3et 4kom ,"Gurty23 Batly bazaryn Gurbansoltan eje kochesi tarap 4/3etajy 4komnat,...",şu wagt,Гуртли,101 TMT,https://tmcars.info/others/4247103673/gurtly23-4-3et-4kom
Mir2 3komnat ,№060 Mir2/4 48nji mekdebiň yany 9/5 etaž 3 komnat 86m² kw prihoşka Dok...,şu wagt,Ашхабад,67.200 TMT,https://tmcars.info/others/4247470161/mir2-3komnat
Hitrowka 2komnat Хитровка 2ком ,№058 Hitrowka Barhanny 20 magaziniň ýany 2/2 etaž 2 komnat bez remont ...,şu wagt,Ашхабад,29 TMT,https://tmcars.info/others/4247462919/hitrowka-2komnat-hitrovka-2kom
Mir8 Taze 4komnat ,№065 Täze Mir8/5 Surikow köçäniň ugry 9/7 etaž  4 komnat tutýan meýdan...,şu wagt,Ашхабад,91 TMT,https://tmcars.info/others/4247497959/mir8-taze-4komnat
SATLYK JAY ,30 MKR 1 KOM 45 M2 GOWDAN PLANIROWKA REMONT ARASSA.    4/1.    37.500....,şu wagt,30 мкр,37.500 TMT,https://tmcars.info/others/4247667662/satlyk-jay
"Mir-1, 1-Komnat. Kwartira ","MIR-1, ÝAŞLAR KÖÇ. (MOLODEŽNYÝ)  4 ETAŽLY JAÝLAR, 4-ETAJ  1-KOMNAT ...",şu wagt,Мир 1,,https://tmcars.info/others/4244887351/mir-1-1-komnat-kwartira
2 mikrayon 3 komnut 2 etaj ,2 mikrayon 3 etaj 2 komnut prapiska arassa dakument tayyn rimont orta...,şu wagt,Чарджоу,38 TMT,https://tmcars.info/others/4247677751/2-mikrayon-3-komnut-2-etaj
30 mkr 2 etaz Высоки Потолок ,30 Mkr Swobodan ugry 3/2etaz 1 kom edilen gos remont goslary galya dak...,2 sag öň,30 мкр,36.500 TMT,https://tmcars.info/others/4247382599/30-mkr-2-etaz-vysoki-potolok
МИР-4 4-КОМ ,МИР-4 9-ТИ ЭТАЖНЫЙ ДОМ ПО УЛИЦЕ МОСКОВСКАЯ 7-Й ЭТАЖ 4-КОМНАТЫ КВАДРАТН...,2 sag öň,Мир 4,,https://tmcars.info/others/4222052745/mir-4-4-kom
АМАТЛЫ 3-КОМНАТ ,11-мкр 4-х этажный крупнопанельный дом 4-й этаж 3-комнаты 72-м² в хо...,2 sag öň,11 мкр,49.500 TMT,https://tmcars.info/others/4229082116/amatly-3-komnat
Gurtly 3kom 3etaz ,Satlyk Gurtly 3kom 3etaz arassa remont yeri gowy hayradyn gapdaly goşl...,2 sag öň,Ашхабад,,https://tmcars.info/others/4247516683/gurtly-3kom-3etaz
Daça дача ,Ýerleşýän ýeri 1 nji daçada dokument ýagdaýy düzüw galany jaňda ýa sms...,şu wagt,Балканабат,150.000 TMT,https://tmcars.info/others/4200457868/daca-daca
Gurtly 3kom 2etaz ,Gyssagly Satlyk Gurtly 3kom 2etaz arassa remont goşlary galya  hayrata...,2 sag öň,Ашхабад,,https://tmcars.info/others/4247515007/gurtly-3kom-2etaz
